average,city,country,date,day_average_temp,dew_point,dew_highest,high_temp,latitude,longitude,dew_lowest,low_temp,max_wind_speed,precipitation,visibility
73.67,jacareacanga,br,31.01.2021,73.67,73.67,75,75,-5.712659,-57.6707925,73,73,0,0,4
36.36,jiwati,in,31.01.2021,70.18,36.36,43,81,19.627276,79.0714145,34,54,7,0,3
25.6,bikaner,in,31.01.2021,69.2,25.6,36,82,27.90915,73.231744,17,53,2,0,1
77.57,nzou,cm,31.01.2021,83.21,77.57,81,91,5.065796,10.4542565,75,79,5,0,6
-21.71,whapmagoostui,ca,31.01.2021,-16.64,-21.71,-18,-15,55.17788,-77.3145515,-24,-18,7,0,9
40.2,pipalda,in,31.01.2021,63,40.2,46,75,25.466151,76.4160295,33,47,0,0,2
9.29,ISAINT2059,ca,31.01.2021,18.14,9.29,10,23,55.20676,-72.786057,7,16,7,0,15
-10.93,caniapiscau,ca,31.01.2021,-7.34,-10.93,-6,-2,54.843213,-68.8211125,-20,-17,9,0,9
73.67,itaituba,br,31.01.2021,73.67,73.67,75,75,-6.668001,-56.4843975,73,73,0,0,4
65.5,tinogasta,ar,31.01.2021,67.2,65.5,69,74,-26.82098,-67.49961,64,64,12,0.51,12
61.36,formosa,br,31.01.2021,72,61.36,63,79,-14.818613,-47.346889,59,68,10,0,6
73.1,borba,br,31.01.2021,75,73.1,75,81,-4.899044,-60.07352,72,73,6,0,6
40.29,mecca,sa,31.01.2021,64.29,40.29,43,79,21.232701,40.0020525,37,54,10,0,6
60.73,IROGRA6,cl,31.01.2021,63.53,60.73,61,64,-51.399084,-75.23024,59,63,10,0,6
20.76,znamenskoe,ru,31.01.2021,24.06,20.76,21,25,58.338224,45.0975435,19,23,16,0,6
-2.43,shigatse,cn,31.01.2021,30.14,-2.43,6,42,30.056108,83.8464455,-12,21,7,0,18
-13.9,armagh,ca,31.01.2021,-7.9,-13.9,-11,-2,46.720529,-70.630234,-18,-13,5,0,25
31.63,kilmessan,ie,31.01.2021,37.48,31.63,36,39,53.540813,-6.664063,28,36,18,0,6
63.09,miranda,ve,31.01.2021,67.18,63.09,72,81,10.599723,-71.31376,0,0,0,0,6
32.8,fune,ng,31.01.2021,70.8,32.8,36,85,11.669248,11.4586375,29,61,12,0,2
19.94,kushkopalskoe,ru,31.01.2021,22.47,19.94,21,23,63.347715,44.5295095,19,21,9,0,6
24.07,bostanabad,ir,31.01.2021,38.67,24.07,30,43,37.657053,46.9083765,21,34,12,0,6
68.6,fandriana,mg,31.01.2021,73.8,68.6,72,82,-20.177131,47.254157,65,65,0,0,18
22.94,staropolskoe,ru,31.01.2021,25.97,22.94,27,28,58.960063,28.656126,21,25,9,0,6
26.41,medina,sa,31.01.2021,63.76,26.41,30,79,23.118873,40.1183755,19,55,12,0,6
63.09,independencia,ve,31.01.2021,67.18,63.09,72,81,8.433211,-63.5451685,0,0,0,0,6
68.67,valladolid,mx,31.01.2021,70.67,68.67,70,72,20.775597,-88.202039,66,68,5,0,7
64,planadas,co,31.01.2021,70,64,64,70,2.938364,-75.8717235,64,70,0,0,6
47.18,kurmi,ng,31.01.2021,81.36,47.18,52,95,7.514193,10.705232,41,70,9,0,3
32.63,IZADAR20,hr,31.01.2021,35.03,32.63,41,43,44.008993,15.1157805,30,32,15,0,6
34.07,sidhpur,in,31.01.2021,71.29,34.07,37,84,23.947351,72.2239345,30,48,9,0,3
69.05,naranjal,py,31.01.2021,69.35,69.05,73,75,-26.029263,-55.2504965,68,68,18,0,6
11.57,tselinnoe,ru,31.01.2021,16.68,11.57,14,19,46.598447,44.6627635,7,10,16,0,6
45.86,servon,fr,31.01.2021,46.34,45.86,48,48,48.614079,-1.4178345,43,45,10,0,6
39.43,porvenir,cl,31.01.2021,48.48,39.43,41,55,-53.053735,-70.04523,39,46,29,0,6
34.07,satlasana,in,31.01.2021,71.29,34.07,37,84,24.0244,72.759552,30,48,9,0,3
73,diamantino,br,31.01.2021,80.36,73,73,88,-13.98725,-57.145401,73,77,9,0,6
68.8,hinche,ht,31.01.2021,68.8,68.8,84,72,19.166525,-71.8855335,64,66,9,0,6
-10.93,kawawachikamach,ca,31.01.2021,-7.34,-10.93,-6,-2,55.219894,-66.9401435,-20,-17,9,0,9
53.82,mercedes,ar,31.01.2021,60.36,53.82,55,66,-34.68768,-59.626408,52,59,13,0,6
21.86,touta,ne,31.01.2021,75.93,21.86,27,90,14.18835,1.467916,14,68,16,0,2
46.6,ludhiana,in,31.01.2021,57,46.6,52,70,30.999565,75.76443,42,44,0,0,2
65.76,chincholi,in,31.01.2021,76.93,65.76,73,86,17.501386,77.5289355,63,64,7,0,3
73,mamurankay,sl,31.01.2021,82,73,73,82,8.504869,-12.046796,73,82,6,0,4
13.19,raahe,fi,31.01.2021,16.56,13.19,14,18,64.371204,25.0485965,10,14,6,0,6
0.55,shulie,ca,31.01.2021,6.27,0.55,5,9,45.558845,-64.5846075,-2,5,13,0,15
75,jacareacanga,br,01.02.2021,76.33,75,75,77,-5.712659,-57.6707925,75,75,0,0,6
39.92,jiwati,in,01.02.2021,63.77,39.92,43,77,19.627276,79.0714145,37,50,6,0,3
78.2,nzou,cm,01.02.2021,78.2,78.2,81,81,5.065796,10.4542565,77,77,3,0,4
-23,whapmagoostui,ca,01.02.2021,-17.5,-23,-22,-17,55.17788,-77.3145515,-24,-18,3,0,9
33.33,bikaner,in,01.02.2021,62.67,33.33,38,78,27.90915,73.231744,29,53,2,0,1
45.33,pipalda,in,01.02.2021,59,45.33,46,71,25.466151,76.4160295,45,49,0,0,1
16.96,ISAINT2059,ca,01.02.2021,25.48,16.96,27,39,55.20676,-72.786057,7,14,14,0,40
-15,caniapiscau,ca,01.02.2021,-10,-15,-15,-9,54.843213,-68.8211125,-15,-11,5,0,9
75,itaituba,br,01.02.2021,76.33,75,75,77,-6.668001,-56.4843975,75,75,0,0,6
63.75,tinogasta,ar,01.02.2021,66.75,63.75,65,67,-26.82098,-67.49961,63,66,9,0,6
63.25,formosa,br,01.02.2021,70.5,63.25,64,72,-14.818613,-47.346889,63,68,2,0,6
73.67,borba,br,01.02.2021,77.67,73.67,75,79,-4.899044,-60.07352,73,77,7,0,6
28.1,mecca,sa,01.02.2021,55.5,28.1,34,61,21.232701,40.0020525,27,50,8,0,3
54.25,IROGRA6,cl,01.02.2021,60.5,54.25,55,63,-51.399084,-75.23024,54,59,9,0,6
19.74,znamenskoe,ru,01.02.2021,25.11,19.74,21,27,58.338224,45.0975435,19,23,18,0,6
-7.25,shigatse,cn,01.02.2021,24,-7.25,-7,28,30.056108,83.8464455,-8,20,7,0,18
-8,armagh,ca,01.02.2021,-1,-8,-8,0,46.720529,-70.630234,-8,-2,6,0,15
37,kilmessan,ie,01.02.2021,38.23,37,37,39,53.540813,-6.664063,37,37,8,0,6
70,miranda,ve,01.02.2021,72,70,70,72,10.599723,-71.31376,70,72,0,0,6
31.67,fune,ng,01.02.2021,61,31.67,32,66,11.669248,11.4586375,31,57,0,0,9
17.05,kushkopalskoe,ru,01.02.2021,19,17.05,21,23,63.347715,44.5295095,10,14,4,0,6
27.93,bostanabad,ir,01.02.2021,33.29,27.93,28,39,37.657053,46.9083765,27,32,5,0,6
67.67,fandriana,mg,01.02.2021,69.67,67.67,71,77,-20.177131,47.254157,66,66,7,0,18
21.6,staropolskoe,ru,01.02.2021,24.9,21.6,23,27,58.960063,28.656126,19,23,13,0,6
28.4,medina,sa,01.02.2021,65.5,28.4,32,68,23.118873,40.1183755,27,63,12,0,6
70,independencia,ve,01.02.2021,72,70,70,72,8.433211,-63.5451685,70,72,0,0,6
51.33,kurmi,ng,01.02.2021,76.33,51.33,52,81,7.514193,10.705232,48,73,7,0,2
26.81,IZADAR20,hr,01.02.2021,28.75,26.81,28,30,44.008993,15.1157805,23,25,5,0,6
36.82,sidhpur,in,01.02.2021,63.27,36.82,43,81,23.947351,72.2239345,34,55,7,0,3
68.8,naranjal,py,01.02.2021,68.8,68.8,70,70,-26.029263,-55.2504965,68,68,2,0,1
-1.38,tselinnoe,ru,01.02.2021,2.81,-1.38,5,9,46.598447,44.6627635,-6,0,9,0,6
46.5,servon,fr,01.02.2021,48,46.5,48,48,48.614079,-1.4178345,46,48,9,0,6
41.21,porvenir,cl,01.02.2021,53.79,41.21,43,54,-53.053735,-70.04523,41,52,33,0,6
73,diamantino,br,01.02.2021,77.67,73,73,79,-13.98725,-57.145401,73,77,7,0,6
36.82,satlasana,in,01.02.2021,63.27,36.82,43,81,24.0244,72.759552,34,55,7,0,3
68,hinche,ht,01.02.2021,68,68,68,68,19.166525,-71.8855335,68,68,7,0,6
-15,kawawachikamach,ca,01.02.2021,-10,-15,-15,-9,55.219894,-66.9401435,-15,-11,5,0,9
63.33,mercedes,ar,01.02.2021,64.67,63.33,64,66,-34.68768,-59.626408,63,64,7,0,6
23.75,touta,ne,01.02.2021,70,23.75,27,73,14.18835,1.467916,21,64,7,0,4
47,ludhiana,in,01.02.2021,51.33,47,53,64,30.999565,75.76443,44,45,0,0,0.62
69.15,chincholi,in,01.02.2021,72.15,69.15,75,81,17.501386,77.5289355,66,66,6,0,2
21,shulie,ca,01.02.2021,25,21,21,25,45.558845,-64.5846075,21,25,7,0,15
5.89,raahe,fi,01.02.2021,9.11,5.89,9,12,64.371204,25.0485965,3,7,3,0,6
54,freitas,in,01.01.2021,68.83,54,56,80,77.3149865,25.926422,50,54,14,0,1
39.76,cunha de pereira,pt,01.01.2021,42.79,39.76,43,50,26.6756065,63.816674,37,37,15,0,6
31.69,lidingö,hr,01.01.2021,34.25,31.69,39,46,1.1580135,7.973223,25,25,5,0,6
44.92,jüterbog,mt,01.01.2021,53.84,44.92,52,61,21.861635,-61.681198,41,48,12,0,6
74,port alan,lk,01.01.2021,77.67,74,74,82,47.013348,-0.562687,74,75,2,2.08,12
44.92,lake dale,mt,01.01.2021,53.84,44.92,52,61,59.310743,-66.800535,41,48,12,0,6
39.76,cavalcanti de nogueira,pt,01.01.2021,42.79,39.76,43,50,3.289566,107.140049,37,37,15,0,6
44.92,växjö,mt,01.01.2021,53.84,44.92,52,61,-19.1571405,-144.468783,41,48,12,0,6
34.44,freitas da mata,ie,01.01.2021,37.11,34.44,36,41,-13.9103745,-122.913976,30,32,15,0,6
44.92,lake dale,mt,01.01.2021,53.84,44.92,52,61,59.310743,-66.800535,41,48,12,0,6
31.69,garmisch-partenkirchen,hr,01.01.2021,34.25,31.69,39,46,36.190482,87.349202,25,25,5,0,6
31.97,da mata do galho,es,01.01.2021,38.35,31.97,36,45,-21.228329,12.316776,27,32,22,0,6
58.33,bützow,in,03.01.2021,69.33,58.33,59,77,47.959617,170.783456,57,64,14,0,1
75.5,south michelle,au,03.01.2021,80.95,75.5,77,88,-8.9437525,144.419724,73,77,10,0,6
37.6,eggenfelden,mk,03.01.2021,39,37.6,41,41,-79.834109,78.319175,36,37,3,0,6
72,kötzting,sv,03.01.2021,74,72,72,75,-53.0344775,-91.294431,72,73,3,0,6
46.27,kleve,pk,03.01.2021,52.31,46.27,52,61,59.9849745,-81.725187,45,48,6,0,2
23,neunburg vorm wald,ca,03.01.2021,26.33,23,23,27,8.2319815,-46.368256,23,26,14,0,0
43.7,kemphaven,sy,03.01.2021,45.6,43.7,46,55,58.002968,-158.747025,41,41,6,0,6
41.82,susanport,it,03.01.2021,48.47,41.82,45,54,-53.2411025,16.759793,39,46,26,0,6
36.32,soest,nl,03.01.2021,38.05,36.32,37,39,-21.252833,-54.152201,36,37,9,0,4
42.6,cavalcanti,fr,03.01.2021,45.8,42.6,45,50,27.0382515,-51.484836,39,45,8,0,6
58.33,west edward,in,03.01.2021,69.33,58.33,59,77,-65.53619,141.659049,57,64,14,0,1
64.25,umeå,br,03.01.2021,67.5,64.25,66,70,-39.0979645,-39.77799,64,66,10,0,6
34,gonçalves,by,03.01.2021,34,34,34,34,-31.688064,96.991043,34,34,7,0,1
61,carvalho de da mata,br,03.01.2021,70,61,61,70,87.41772,45.818544,61,70,13,0,6
43.7,anthonyshire,sy,03.01.2021,45.6,43.7,46,55,-86.943202,103.124863,41,41,6,0,6
46.27,malmö,pk,03.01.2021,52.31,46.27,52,61,44.632871,68.408736,45,48,6,0,2
21.33,alves,no,03.01.2021,28.61,21.33,23,32,-47.7327315,12.298117,21,27,7,0,6
44.05,lübben,mt,03.01.2021,56,44.05,46,61,86.830237,159.101638,41,55,17,0,6
72,pearsonland,sv,03.01.2021,74,72,72,75,-40.881912,-174.735718,72,73,3,0,6
41.82,borlänge,it,03.01.2021,48.47,41.82,45,54,-46.779572,-100.405075,39,46,26,0,6
54,east william,za,03.01.2021,60,54,56,65,50.4966615,-64.763481,53,56,10,0,12
43.7,jönköping,sy,03.01.2021,45.6,43.7,46,55,61.6293935,151.990719,41,41,6,0,6
29.68,borås,se,03.01.2021,32,29.68,30,32,-22.5841885,113.445539,28,32,9,0,6
64.25,moreira,br,03.01.2021,67.5,64.25,66,70,25.3256905,-149.730313,64,66,10,0,6
61.09,new stephanieport,au,03.01.2021,65.79,61.09,68,75,-27.2065675,179.599586,55,61,15,0,6
43.7,north lindaside,sy,03.01.2021,45.6,43.7,46,55,-78.842505,-108.451414,41,41,6,0,6
44.05,caldeira,mt,03.01.2021,56,44.05,46,61,57.2369755,-62.833331,41,55,17,0,6
44.05,koblenz,mt,03.01.2021,56,44.05,46,61,-51.357706,133.861217,41,55,17,0,6
64.25,ängelholm,br,03.01.2021,67.5,64.25,66,70,51.8883865,125.171127,64,66,10,0,6
44.05,monschau,mt,03.01.2021,56,44.05,46,61,61.9897,147.063962,41,55,17,0,6
61.09,grahamside,au,03.01.2021,65.79,61.09,68,75,-14.8645,-119.032927,55,61,15,0,6
52,adrienneport,cl,03.01.2021,61.5,52,52,64,53.280447,110.456515,52,61,13,0,6
37.6,da mata da praia,mk,03.01.2021,39,37.6,41,41,40.457305,-174.54041,36,37,3,0,6
52,gomes,cl,03.01.2021,61.5,52,52,64,-60.081242,41.760641,52,61,13,0,6
44.05,smithstad,mt,03.01.2021,56,44.05,46,61,69.3028195,-174.299834,41,55,17,0,6
27.04,sankt goar,ge,03.01.2021,29.12,27.04,30,34,-69.2778825,-128.912632,23,25,7,0,6
72,wendyville,sv,03.01.2021,74,72,72,75,36.7321715,123.19173,72,73,3,0,6
70.67,carterstad,dj,03.01.2021,81.67,70.67,72,82,-72.3227935,11.645719,70,81,10,0,6
38.7,new kurt,hr,03.01.2021,40.2,38.7,41,41,17.105656,169.432684,37,37,6,0,6
42,borås,cm,03.01.2021,78.5,42,45,84,-64.581557,111.734549,39,73,10,0,6
41.82,linköping,it,03.01.2021,48.47,41.82,45,54,-40.869178,-140.747494,39,46,26,0,6
72,lake robert,br,03.01.2021,81.14,72,72,82,9.8585885,107.945526,72,81,15,0,6
